event,key,key_hold_time,timestamp,inter_key_delay,is_backspace,session_time_of_day,user_id,session_id
release,Key.enter,0.0,1750045193.068,,,,user1,s4
press,Key.enter,,1750045198.623,0.0,0.0,0.3819,user1,s4
release,Key.enter,0.118,1750045198.741,,,,user1,s4
press,Key.enter,,1750045198.867,0.244,0.0,0.3819,user1,s4
release,Key.enter,0.084,1750045198.952,,,,user1,s4
press,r,,1750045200.716,1.849,0.0,0.3819,user1,s4
release,r,0.069,1750045200.785,,,,user1,s4
press,e,,1750045201.07,0.354,0.0,0.382,user1,s4
release,e,0.061,1750045201.13,,,,user1,s4
press,d,,1750045201.262,0.192,0.0,0.382,user1,s4
release,d,0.055,1750045201.317,,,,user1,s4
press,m,,1750045201.576,0.313,0.0,0.382,user1,s4
release,m,0.071,1750045201.647,,,,user1,s4
press,i,,1750045201.789,0.214,0.0,0.382,user1,s4
release,i,0.06,1750045201.85,,,,user1,s4
press,Key.space,,1750045201.956,0.167,0.0,0.382,user1,s4
release,Key.space,0.062,1750045202.018,,,,user1,s4
press,p,,1750045202.166,0.21,0.0,0.382,user1,s4
release,p,0.069,1750045202.235,,,,user1,s4
press,a,,1750045202.394,0.228,0.0,0.382,user1,s4
release,a,0.054,1750045202.448,,,,user1,s4
press,d,,1750045202.605,0.211,0.0,0.382,user1,s4
release,d,0.061,1750045202.666,,,,user1,s4
press,Key.space,,1750045202.742,0.138,0.0,0.382,user1,s4
release,Key.space,0.052,1750045202.795,,,,user1,s4
press,p,,1750045203.26,0.518,0.0,0.382,user1,s4
release,p,0.037,1750045203.297,,,,user1,s4
press,r,,1750045203.434,0.174,0.0,0.382,user1,s4
release,r,0.07,1750045203.503,,,,user1,s4
press,o,,1750045203.564,0.13,0.0,0.382,user1,s4
release,o,0.064,1750045203.628,,,,user1,s4
press,Key.space,,1750045203.781,0.217,0.0,0.382,user1,s4
release,Key.space,0.069,1750045203.849,,,,user1,s4
press,h,,1750045205.106,1.325,0.0,0.382,user1,s4
release,h,0.054,1750045205.16,,,,user1,s4
press,a,,1750045205.234,0.127,0.0,0.382,user1,s4
release,a,0.068,1750045205.302,,,,user1,s4
press,s,,1750045205.424,0.19,0.0,0.382,user1,s4
release,s,0.066,1750045205.489,,,,user1,s4
press,Key.space,,1750045205.637,0.213,0.0,0.382,user1,s4
release,Key.space,0.067,1750045205.704,,,,user1,s4
