event,mouse_speed,x,y,time_of_day,timestamp,user_id,session_id
move,0.0,522,962,0.957,1750094883.684,user1,s6
move,182.6919,523,961,0.957,1750094883.691,user1,s6
move,0.0,523,961,0.957,1750094883.699,user1,s6
move,125.3715,524,961,0.957,1750094883.707,user1,s6
move,125.4615,524,960,0.957,1750094883.715,user1,s6
move,88.5267,525,959,0.957,1750094883.731,user1,s6
move,13.2233,527,959,0.957,1750094883.883,user1,s6
move,352.2576,530,958,0.957,1750094883.891,user1,s6
move,399.4926,533,957,0.957,1750094883.899,user1,s6
move,389.8408,536,956,0.957,1750094883.908,user1,s6
move,202.4037,537,955,0.957,1750094883.915,user1,s6
move,352.6603,540,954,0.957,1750094883.923,user1,s6
move,432.3897,543,953,0.957,1750094883.931,user1,s6
move,517.2292,547,952,0.957,1750094883.939,user1,s6
move,396.128,550,951,0.957,1750094883.947,user1,s6
move,501.591,554,951,0.957,1750094883.955,user1,s6
move,516.6883,558,950,0.957,1750094883.963,user1,s6
move,355.4495,561,950,0.957,1750094883.971,user1,s6
move,760.6498,567,949,0.957,1750094883.979,user1,s6
move,912.9913,584,947,0.957,1750094883.995,user1,s6
move,827.209,591,947,0.957,1750094884.003,user1,s6
move,626.9513,596,947,0.957,1750094884.011,user1,s6
move,500.7078,600,947,0.957,1750094884.019,user1,s6
move,491.3808,604,947,0.957,1750094884.027,user1,s6
move,500.4987,608,947,0.957,1750094884.035,user1,s6
move,839.7565,614,947,0.957,1750094884.043,user1,s6
move,737.136,777,947,0.957,1750094884.123,user1,s6
move,825.0819,783,947,0.957,1750094884.131,user1,s6
move,239.4351,785,947,0.957,1750094884.139,user1,s6
move,376.937,788,947,0.957,1750094884.147,user1,s6
move,119.438,789,947,0.957,1750094884.155,user1,s6
move,0.0,789,947,0.957,1750094884.179,user1,s6
move,0.0,789,947,0.957,1750094884.211,user1,s6
move,267.7348,788,949,0.957,1750094884.219,user1,s6
move,683.5567,784,952,0.957,1750094884.226,user1,s6
move,946.4987,700,983,0.957,1750094884.291,user1,s6
move,905.2033,694,987,0.957,1750094884.299,user1,s6
move,555.6625,690,989,0.957,1750094884.307,user1,s6
move,627.4953,686,992,0.957,1750094884.315,user1,s6
move,572.497,683,995,0.957,1750094884.322,user1,s6
move,468.3861,680,998,0.957,1750094884.331,user1,s6
move,607.5219,677,1001,0.957,1750094884.338,user1,s6
move,332.7243,675,1003,0.957,1750094884.347,user1,s6
move,272.1791,673,1004,0.957,1750094884.355,user1,s6
move,276.5124,672,1006,0.957,1750094884.363,user1,s6
move,126.927,672,1007,0.957,1750094884.371,user1,s6
move,120.0224,672,1008,0.957,1750094884.379,user1,s6
move,199.9947,671,1009,0.957,1750094884.386,user1,s6
move,235.5755,671,1011,0.957,1750094884.395,user1,s6
move,0.0,671,1011,0.957,1750094884.403,user1,s6
move,250.7505,671,1013,0.957,1750094884.411,user1,s6
move,248.4483,671,1015,0.957,1750094884.419,user1,s6
move,528.7296,674,1018,0.957,1750094884.427,user1,s6
move,448.0159,677,1020,0.957,1750094884.435,user1,s6
move,738.4093,681,1024,0.957,1750094884.443,user1,s6
move,876.6828,824,1045,0.957,1750094884.531,user1,s6
move,566.9051,828,1042,0.957,1750094884.54,user1,s6
move,885.4814,833,1038,0.957,1750094884.547,user1,s6
move,545.752,835,1034,0.957,1750094884.555,user1,s6
move,922.511,838,1027,0.957,1750094884.563,user1,s6
move,962.0959,845,1012,0.957,1750094884.58,user1,s6
move,826.0649,848,988,0.957,1750094884.603,user1,s6
move,897.1773,848,981,0.957,1750094884.611,user1,s6
move,601.5409,848,976,0.957,1750094884.62,user1,s6
move,987.2291,844,969,0.957,1750094884.628,user1,s6
move,763.0841,712,1015,0.957,1750094884.747,user1,s6
move,706.8655,712,1021,0.957,1750094884.756,user1,s6
move,814.2962,712,1027,0.957,1750094884.763,user1,s6
move,281.661,713,1029,0.957,1750094884.771,user1,s6
move,772.9344,715,1035,0.957,1750094884.779,user1,s6
move,496.3994,718,1038,0.957,1750094884.788,user1,s6
move,408.65,721,1039,0.957,1750094884.795,user1,s6
move,396.27,724,1040,0.957,1750094884.803,user1,s6
move,639.6159,729,1041,0.957,1750094884.811,user1,s6
move,852.5503,736,1041,0.957,1750094884.82,user1,s6
move,789.457,843,955,0.957,1750094884.915,user1,s6
move,713.6916,851,941,0.957,1750094884.931,user1,s6
move,651.435,1849,-3,0.957,1750094885.227,user1,s6
move,517.09,1853,-4,0.957,1750094885.235,user1,s6
move,505.5756,1856,-2,0.957,1750094885.242,user1,s6
move,0.0,1856,-2,0.957,1750094885.251,user1,s6
move,115.3137,1857,-2,0.957,1750094885.259,user1,s6
move,177.2173,1858,-1,0.957,1750094885.267,user1,s6
move,318.4202,1859,-3,0.957,1750094885.274,user1,s6
move,166.6332,1860,-4,0.957,1750094885.283,user1,s6
move,0.0,1860,-4,0.957,1750094885.291,user1,s6
move,133.5468,1860,-3,0.957,1750094885.298,user1,s6
move,437.9732,1858,-6,0.957,1750094885.307,user1,s6
move,501.636,1854,-6,0.957,1750094885.315,user1,s6
move,877.8892,1847,-6,0.957,1750094885.323,user1,s6
move,639.5586,1735,-1,0.957,1750094885.403,user1,s6
move,357.185,1732,-1,0.957,1750094885.411,user1,s6
move,124.8379,1731,-1,0.957,1750094885.419,user1,s6
move,0.0,1731,-1,0.957,1750094885.435,user1,s6
move,179.0144,1730,0,0.957,1750094885.443,user1,s6
move,40.4481,1729,0,0.957,1750094885.467,user1,s6
move,182.2933,1728,1,0.957,1750094885.475,user1,s6
move,422.9719,1727,4,0.957,1750094885.482,user1,s6
move,343.927,1727,7,0.957,1750094885.491,user1,s6
move,400.6531,1727,10,0.957,1750094885.499,user1,s6
move,373.9794,1727,13,0.957,1750094885.507,user1,s6
move,118.3595,1727,14,0.957,1750094885.515,user1,s6
move,275.6509,1729,14,0.957,1750094885.522,user1,s6
move,237.5367,1731,14,0.957,1750094885.531,user1,s6
move,127.2969,1732,14,0.957,1750094885.539,user1,s6
move,118.0098,1733,14,0.957,1750094885.547,user1,s6
move,131.5819,1734,14,0.957,1750094885.555,user1,s6
move,0.0,1734,14,0.957,1750094885.563,user1,s6
move,0.0,1734,14,0.957,1750094885.587,user1,s6
move,6.7231,1735,14,0.957,1750094885.736,user1,s6
move,453.3463,1738,13,0.957,1750094885.743,user1,s6
move,783.9443,1741,12,0.957,1750094885.747,user1,s6
move,353.6314,1744,12,0.957,1750094885.755,user1,s6
move,248.1323,1746,12,0.957,1750094885.763,user1,s6
move,125.409,1747,12,0.957,1750094885.771,user1,s6
move,386.0855,1750,12,0.957,1750094885.779,user1,s6
move,286.6626,1752,12,0.957,1750094885.786,user1,s6
move,112.987,1753,12,0.957,1750094885.795,user1,s6
move,398.2186,1756,12,0.957,1750094885.802,user1,s6
move,234.1551,1758,12,0.957,1750094885.811,user1,s6
move,0.0,1758,12,0.957,1750094885.819,user1,s6
move,128.6833,1759,12,0.957,1750094885.827,user1,s6
move,177.9297,1760,13,0.957,1750094885.835,user1,s6
move,0.0,1760,13,0.957,1750094885.843,user1,s6
move,301.1028,1762,14,0.957,1750094885.851,user1,s6
move,243.7769,1764,14,0.957,1750094885.859,user1,s6
move,0.0,1764,14,0.957,1750094885.867,user1,s6
move,175.4508,1765,15,0.957,1750094885.875,user1,s6
move,132.7479,1766,15,0.957,1750094885.883,user1,s6
move,0.0,1766,15,0.957,1750094885.891,user1,s6
move,122.4829,1766,16,0.957,1750094885.899,user1,s6
move,127.6688,1767,16,0.957,1750094885.907,user1,s6
move,0.0,1767,16,0.957,1750094885.931,user1,s6
move,13.7285,1767,17,0.957,1750094886.003,user1,s6
click,,1767,17,0.957,1750094886.083,user1,s6
move,0.0,1767,17,0.957,1750094886.259,user1,s6
move,0.0,1767,17,0.957,1750094886.267,user1,s6
move,119.1022,1766,17,0.957,1750094886.275,user1,s6
move,121.5881,1766,18,0.957,1750094886.284,user1,s6
move,205.2258,1765,19,0.957,1750094886.291,user1,s6
move,0.0,1765,19,0.957,1750094886.299,user1,s6
move,490.2671,1763,22,0.957,1750094886.307,user1,s6
move,465.2017,1760,24,0.957,1750094886.315,user1,s6
move,347.2756,1758,26,0.957,1750094886.323,user1,s6
move,528.2165,1756,30,0.957,1750094886.331,user1,s6
move,736.7895,1754,35,0.957,1750094886.338,user1,s6
