timestamp,key_hold_time,inter_key_delay,is_backspace,session_time_of_day_x,mouse_speed,click_event,session_time_of_day_y
1750094570.6,0.094,1.777,0.0,0.9534,0.0,0.0,0.0
1750094570.87,0.1,0.264,0.0,0.9534,0.0,0.0,0.0
1750094571.1,0.047,0.234,0.0,0.9534,0.0,0.0,0.0
1750094571.31,0.079,0.212,0.0,0.9534,0.0,0.0,0.0
1750094571.5,0.049,0.191,0.0,0.9534,0.0,0.0,0.0
1750094571.74,0.074,0.239,0.0,0.9534,0.0,0.0,0.0
1750094571.9,0.068,0.156,0.0,0.9534,0.0,0.0,0.0
1750094572.11,0.078,0.216,0.0,0.9534,0.0,0.0,0.0
1750094572.3,0.071,0.19,0.0,0.9534,0.0,0.0,0.0
1750094572.69,0.052,0.389,0.0,0.9534,0.0,0.0,0.0
1750094572.88,0.051,0.19,0.0,0.9534,0.0,0.0,0.0
1750094573.05,0.076,0.167,0.0,0.9534,0.0,0.0,0.0
1750094573.27,0.094,0.218,0.0,0.9534,0.0,0.0,0.0
1750094573.65,0.048,0.38,0.0,0.9534,0.0,0.0,0.0
1750094573.84,0.064,0.19,0.0,0.9534,0.0,0.0,0.0
1750094574.23,0.068,0.389,0.0,0.9534,0.0,0.0,0.0
1750094574.43,0.132,0.199,0.0,0.9534,0.0,0.0,0.0
1750094574.6,0.078,0.177,0.0,0.9534,0.0,0.0,0.0
1750094574.79,0.06,0.191,0.0,0.9534,0.0,0.0,0.0
1750094575.0,0.065,0.207,0.0,0.9534,0.0,0.0,0.0
1750094575.42,0.06,0.421,0.0,0.9534,0.0,0.0,0.0
1750094575.62,0.059,0.197,0.0,0.9534,0.0,0.0,0.0
1750094575.87,0.065,0.254,0.0,0.9534,0.0,0.0,0.0
1750094576.08,0.043,0.212,0.0,0.9534,0.0,0.0,0.0
1750094576.31,0.076,0.223,0.0,0.9534,0.0,0.0,0.0
1750094576.49,0.05,0.18,0.0,0.9534,0.0,0.0,0.0
1750094576.68,0.051,0.195,0.0,0.9534,0.0,0.0,0.0
1750094576.86,0.047,0.176,0.0,0.9534,0.0,0.0,0.0
1750094577.09,0.068,0.228,0.0,0.9534,0.0,0.0,0.0
1750094579.2,0.04,2.116,0.0,0.9535,0.0,0.0,0.0
1750094579.4,0.095,0.195,0.0,0.9535,0.0,0.0,0.0
1750094579.69,0.06,0.29,0.0,0.9535,0.0,0.0,0.0
1750094579.92,0.064,0.235,0.0,0.9535,0.0,0.0,0.0
1750094580.16,0.042,0.24,0.0,0.9535,0.0,0.0,0.0
1750094580.32,0.064,0.155,0.0,0.9535,0.0,0.0,0.0
1750094580.58,0.076,0.264,0.0,0.9535,0.0,0.0,0.0
